,sarimax,prophet,general forecast
2023-11-05,42018.19430707604,0.0,26538.4
2023-11-06,21145.27604862507,0.0,13355.61
2023-11-07,13936.634910747744,0.0,8802.821
2023-11-08,17876.824633423465,0.0,11291.344
2023-11-09,17666.9157054018,0.0,11158.7705
2023-11-10,19653.887717392376,0.0,12413.69
2023-11-11,36471.6892911312,0.0,23035.373
2023-11-12,41679.675064802504,0.0,26324.6
2023-11-13,21547.9568505626,0.0,13609.935
2023-11-14,14115.3274716565,0.0,8915.68
2023-11-15,17793.14391763221,8245.022904019259,8756.281
2023-11-16,17764.229723715704,0.0,11220.231
2023-11-17,19674.44254970224,0.0,12426.673
2023-11-18,35820.99443029972,12018.409680808241,19014.295
2023-11-19,41335.506507725346,59267.63373416065,13589.557
2023-11-20,21937.109391883572,66345.81306578062,13418.328
2023-11-21,14298.3534510016,35016.76613022621,7418.9756
2023-11-22,17717.185822526048,27855.378721667017,6384.706
2023-11-23,17854.467062477175,66058.45464314742,12804.918
2023-11-24,19696.87723427637,67225.14226310574,13243.713
2023-11-25,35202.282926126274,116227.90845521142,23056.914
2023-11-26,40986.81993188879,132722.59903759768,26438.832
2023-11-27,22312.564620709803,139978.02856537089,24971.63
2023-11-28,14485.31001961495,0.0,9149.35
2023-11-29,17648.770915882196,22686.556923069893,5204.979
2023-11-30,17938.042975172124,43672.4182217578,9263.965
2023-12-01,19720.878046961312,47832.412903344746,10154.275
2023-12-02,34613.86263080292,188418.43788589395,34250.816
2023-12-03,40634.66465848887,280314.54905566346,49442.996
2023-12-04,22674.20207651233,399144.1330241033,65502.566
2023-12-05,14675.804793966277,280490.8355621667,45855.652
2023-12-06,17587.714288106778,354069.4440294986,57753.79
2023-12-07,18015.365086680576,715745.0236533091,114305.44
2023-12-08,19746.157848980893,806692.5806914814,128752.04
2023-12-09,34054.13411942414,1086167.1194772215,174397.17
2023-12-10,40280.01227158597,1012322.3966306214,163729.94
2023-12-11,23021.947519038902,1336251.6458611966,211922.94
2023-12-12,14869.455800654561,1538952.9884567093,242448.73
2023-12-13,17533.8266393591,1971278.5511039924,310347.03
2023-12-14,18086.83201343975,2192482.2496089367,344975.1
2023-12-15,19772.454387472182,2389555.929224285,375991.88
2023-12-16,33521.58545694411,2873154.168463415,453442.34
2023-12-17,39923.75973634742,3173662.493847832,501271.9
2023-12-18,23355.770259294994,3820643.1656593955,600020.25
2023-12-19,15065.891189067217,4043721.9273844543,633709.7
2023-12-20,17486.915204131106,4475675.416613021,701516.0
2023-12-21,18152.83232863114,4354668.492088618,682708.06
2023-12-22,19799.52879365018,4987910.88840592,781846.94
2023-12-23,33014.78743787326,5147319.083321983,808586.06
2023-12-24,39566.73298781943,5748932.049927401,903467.7
2023-12-25,23675.680566504387,6055299.414895889,949108.0
2023-12-26,15264.749140328742,6071593.897646231,950481.94
2023-12-27,17446.784662161404,6839991.309083777,1070806.1
2023-12-28,18213.74367839018,6848238.783806447,1072201.1
2023-12-29,19827.164197933285,7425049.073625288,1162520.8
2023-12-30,32532.388986531932,7488305.857301615,1174170.6
2023-12-31,39209.690330479985,7830453.2042935295,1228542.2
2024-01-01,23981.726955117865,7909701.074300675,1238799.8
2024-01-02,15465.677778141759,7825290.572024485,1224429.5
2024-01-03,17413.237845065625,8125035.170158115,1271519.5
2024-01-04,18269.932039866813,8266110.778962259,1293674.1
2024-01-05,19855.164385219883,8177894.481595978,1280115.9
2024-01-06,32073.11284004786,8521561.697360814,1335496.5
2024-01-07,38853.32595001158,8097397.787653138,1270188.2
2024-01-08,24273.993538200186,8029907.031446954,1257616.2
2024-01-09,15668.335165087123,8113727.773176904,1269510.2
2024-01-10,17386.076414854557,7782572.37866235,1218024.5
2024-01-11,18321.751124838593,7510440.336321319,1175649.0
2024-01-12,19883.352532742898,7073424.975943352,1107606.6
2024-01-13,31635.751437774303,7462996.778529134,1170092.6
2024-01-14,38498.27333869723,7104238.306145715,1115011.8
2024-01-15,24552.597361190783,6471389.804899612,1014221.56
2024-01-16,15872.389326702647,6611673.809932511,1034924.56
2024-01-17,17365.101432615145,6421558.106872956,1005437.2
2024-01-18,18369.541907555675,6084676.929528314,952957.75
2024-01-19,19911.570014935965,5617723.729883185,880236.44
2024-01-20,31219.163034747326,5829673.076005377,914916.7
2024-01-21,38145.10868171847,5567571.679838004,874942.0
2024-01-22,24817.685781132503,4670958.2169801,733039.06
2024-01-23,16077.518311676311,4536483.506482951,710817.7
2024-01-24,17350.113866638927,4456231.616719161,698459.94
2024-01-25,18413.63227277134,4102390.868600961,643339.7
2024-01-26,19939.675267586863,3824272.643112652,600111.44
2024-01-27,30822.26803024163,3528821.0015243213,555478.7
2024-01-28,37794.35416828885,3150388.1120546167,497340.03
2024-01-29,25069.433889713182,3153463.8216816117,496048.47
2024-01-30,16283.410271410055,3152017.5252681803,494599.03
2024-01-31,17340.915030464726,3209891.9281157656,503786.06
2024-02-01,18454.336764146163,2588768.3204363105,406924.38
2024-02-02,19967.54270504641,2668283.618924495,419555.0
2024-02-03,30444.04549321319,2582827.29562073,407666.03
2024-02-04,37446.481218875895,2435778.816265864,385672.78
2024-02-05,25308.041998215314,2071945.1839102332,327153.3
2024-02-06,16489.76355627348,2278232.820745359,358146.53
2024-02-07,17337.306966608976,2309247.2005428243,363108.88
2024-02-08,18491.956430458362,2137344.038521116,336419.16
2024-02-09,19995.061689222443,1999143.3961074636,315042.16
2024-02-10,30083.529883717703,1970355.9358581272,311950.56
2024-02-11,37101.913615820406,1507589.797968889,240645.89
2024-02-12,25533.733191630145,1584432.1273180535,251037.4
2024-02-13,16696.28681886944,1617579.7397494924,254984.25
2024-02-14,17339.0927792379,1570933.8992735457,247787.92
2024-02-15,18526.77875487039,1518878.4307475858,239822.45
2024-02-16,20022.135545834277,1355006.5475365683,214434.66
2024-02-17,29739.80795739151,1397023.8157628942,222350.81
2024-02-18,36761.03052956473,1157675.7259652554,185943.44
2024-02-19,25746.750963580937,1105889.182907275,176320.83
2024-02-20,16902.699119897057,1215996.1061568381,192287.47
2024-02-21,17346.076923431698,1193044.453837426,188764.28
2024-02-22,18559.077660334508,1150644.416004997,182310.47
2024-02-23,20048.680625798206,956929.4974270402,152260.53
2024-02-24,29412.015845546153,1082582.9578983246,173190.89
2024-02-25,36424.16943408796,832491.201848105,135104.17
2024-02-26,25947.356938952336,781086.219776491,125616.0
2024-02-27,17108.73003109759,1035896.882736618,164185.47
2024-02-28,17358.065456127053,986519.119710898,156507.62
2024-02-29,18589.11358151529,984700.1429259544,156394.9
2024-03-01,20074.625408985914,1027638.7027227383,163308.6
2024-03-02,29099.33630160289,925082.9801469684,148546.58
2024-03-03,36091.62890620547,743794.1298103022,121203.77
2024-03-04,26135.82869053348,801097.2793532783,128767.87
2024-03-05,17314.119730880175,1044664.9336661359,165583.6
2024-03-06,17374.866253921547,1042403.3154796704,165238.8
2024-03-07,18617.13359561116,1116104.5129062831,176923.6
2024-03-08,20099.909648667945,1113349.859172876,176699.81
2024-03-09,28800.99610553238,1239992.6586434222,197692.5
2024-03-10,35763.67130607938,962994.2453003675,155396.19
2024-03-11,26312.457654499867,1063714.5359807943,169812.12
2024-03-12,17518.619088926396,1191983.6961646094,188622.61
2024-03-13,17396.28920205397,1348874.0162534083,213111.11
2024-03-14,18643.371604318385,1402678.1805146048,221688.75
2024-03-15,20124.48355467479,1245461.8420006495,197338.53
2024-03-16,28516.263617740886,1309748.8644380313,208548.47
2024-03-17,35440.52533676202,1113517.6881627024,178862.28
2024-03-18,26477.547148294223,1077284.336888415,171954.64
2024-03-19,17721.98973665251,1263806.122397445,199869.25
2024-03-20,17422.146358542912,1250871.2059426382,197807.14
2024-03-21,18668.04856008734,1283924.4670762436,203143.4
2024-03-22,20148.307013879203,1173576.4470986729,186113.67
2024-03-23,28244.44647431514,1287121.3158956897,204976.31
2024-03-24,35122.38848224542,822998.8312220535,133440.22
2024-03-25,26631.41049335101,907705.8557235702,145488.67
2024-03-26,17924.004120945854,1076703.936502024,170672.88
2024-03-27,17452.252096940716,1093954.2345042569,173301.61
2024-03-28,18691.372730245064,1017459.3422128531,161526.0
2024-03-29,20171.348846627185,953365.5957737379,151720.94
2024-03-30,27984.889415727488,1050314.8292376292,167952.05
2024-03-31,34809.42932428257,716481.2987872245,116759.086
2024-04-01,26774.369244052115,645067.0831379965,104485.586
2024-04-02,18124.445539131237,833370.5120167651,132693.22
